Item,Frequency,Relative frequency
"giorra",44,1.28062
"matánach",44,1.28062
"fualbhrost",44,1.28062
"féinmharai",44,1.28062
"treabh",44,1.28062
"aistriú",44,1.28062
"aiséirigh",44,1.28062
"réamhluai",44,1.28062
"snoite",44,1.28062
"iompraíoch",44,1.28062
"cúntach",44,1.28062
"barrthábhacht",44,1.28062
"inathnuai",44,1.28062
"loiscneach",44,1.28062
"deismir",44,1.28062
"maolui",44,1.28062
"geanasach",44,1.28062
"teangeolai",44,1.28062
"draíocht",43,1.25152
"bolgach",43,1.25152
"déistineach",43,1.25152
"teorantach",43,1.25152
"feanntach",43,1.25152
"feis",43,1.25152
"rúnmhar",43,1.25152
"scéiniúil",43,1.25152
"stampáil",43,1.25152
"fíodóireach",43,1.25152
"síniú",43,1.25152
"cothromaigh",43,1.25152
"radharcach",43,1.25152
"plandúil",43,1.25152
"díomasach",43,1.25152
"éiritheach",43,1.25152
"cairbreach",43,1.25152
"scaoilteach",43,1.25152
"liobarnach",43,1.25152
"deimhniú",43,1.25152
"deán",43,1.25152
"maolaitheach",43,1.25152
"ding",43,1.25152
"éagumas",43,1.25152
"saitilí",43,1.25152
"doleigheasta",43,1.25152
"neamhghnáth",42,1.22241
"aistreánach",42,1.22241
"cianaosta",42,1.22241
"inúsáid",42,1.22241
"anas",42,1.22241
"cosmach",42,1.22241
"fothai",42,1.22241
"sonaí",42,1.22241
"braith",42,1.22241
"foghlamtha",42,1.22241
"aindleathach",42,1.22241
"buanseasmhach",42,1.22241
"tum",42,1.22241
"tost",42,1.22241
"imtharraing",42,1.22241
"bunúil",42,1.22241
"cómhalartach",42,1.22241
"ionchas",42,1.22241
"bealaigh",42,1.22241
"amar",42,1.22241
"neamhchorprai",42,1.22241
"di",42,1.22241
"dlúite",42,1.22241
"mhill",42,1.22241
"bhiotáil",42,1.22241
"chomhordai",42,1.22241
"méirean",42,1.22241
"craicneach",41,1.19331
"nglún",41,1.19331
"díleáigh",41,1.19331
"réalteolai",41,1.19331
"fiosc",41,1.19331
"sgiathan",41,1.19331
"staitistiúil",41,1.19331
"sochorraithe",41,1.19331
"soghonta",41,1.19331
"chrainn",41,1.19331
"cniotáil",41,1.19331
"tonach",41,1.19331
"sualann",41,1.19331
"aerga",41,1.19331
"lasnairde",41,1.19331
"saolach",41,1.19331
"tairg",41,1.19331
"dinimiciúil",41,1.19331
"míshláintiúil",41,1.19331
"teith",40,1.16420
"ordaitheach",40,1.16420
"crap",40,1.16420
"piúratánach",40,1.16420
"raidhsiúil",40,1.16420
"sainteach",40,1.16420
"scigiúil",40,1.16420
"sciúr",40,1.16420
"seirg",40,1.16420
"sraithcheangail",40,1.16420
"comhoiriúnach",40,1.16420
"comhréireach",40,1.16420
"cluanach",40,1.16420
"tacaigh",40,1.16420
"stuamach",40,1.16420
"lódáil",40,1.16420
"treascair",40,1.16420
"téacsach",40,1.16420
"grátáil",40,1.16420
"caointeoireach",40,1.16420
"iomair",40,1.16420
"damáisteach",40,1.16420
"neamhbhailí",40,1.16420
"deifnídeach",40,1.16420
"deisceartach",40,1.16420
"lárnai",40,1.16420
"tuairisciúil",40,1.16420
"dlíthairgthe",40,1.16420
"meáite",40,1.16420
"meánscolaíoch",40,1.16420
"mhórphoin",40,1.16420
"alcaileach",40,1.16420
"mí-ionraic",40,1.16420
"chuar",39,1.13510
"fadthéarm",39,1.13510
"ghot",39,1.13510
"pianbhrei",39,1.13510
"claochlaigh",39,1.13510
"plúrach",39,1.13510
"priontáil",39,1.13510
"bratógach",39,1.13510
"ghníomhai",39,1.13510
"saorál",39,1.13510
"scoithphoin",39,1.13510
"coirceogach",39,1.13510
"coip",39,1.13510
"fórsúil",39,1.13510
"pioctha",39,1.13510
"corn",39,1.13510
"cumhach",39,1.13510
"cianda",39,1.13510
"chraoltóireach",39,1.13510
"goi",39,1.13510
"tuat",39,1.13510
"athbhreithniú",39,1.13510
"crúigh",39,1.13510
"céimnigh",39,1.13510
"carthannach",39,1.13510
"barántúil",39,1.13510
"damnaigh",39,1.13510
"danartha",39,1.13510
"luascach",39,1.13510
"chiontai",39,1.13510
"tiomáin",39,1.13510
"agair",39,1.13510
"coilgneach",39,1.13510
"mórdh",39,1.13510
"cainn",39,1.13510
"neamhfhoilsi",38,1.10599
"nimheanta",38,1.10599
"no",38,1.10599
"tréshoilseach",38,1.10599
"oscailteach",38,1.10599
"pionósach",38,1.10599
"feosaí",38,1.10599
"samhnasach",38,1.10599
"feidearál",38,1.10599
"feici",38,1.10599
"spíosrach",38,1.10599
"struchtúr",38,1.10599
"stuáil",38,1.10599
"plámásach",38,1.10599
"creach",38,1.10599
"sulfar",38,1.10599
"éifeacht",38,1.10599
"ilchreidmheach",38,1.10599
"vótaíoch",38,1.10599
"dealaigh",38,1.10599
"éigríoch",38,1.10599
"chothromán",38,1.10599
"cotúil",38,1.10599
"mórál",38,1.10599
"duaischis",38,1.10599
"chríoch",37,1.07689
"chumann",37,1.07689
"prap",37,1.07689
"píre",37,1.07689
"faillíoch",37,1.07689
"braiteach",37,1.07689
"rámhailleach",37,1.07689
"caighdeánaigh",37,1.07689
"coincréiteach",37,1.07689
"aor",37,1.07689
"forbraíoch",37,1.07689
"siméadrach",37,1.07689
"taismeach",37,1.07689
"fáigh",37,1.07689
"glaoigh",37,1.07689
"geallmhar",37,1.07689
"mórluachach",37,1.07689
"coisctheach",37,1.07689
"cnocach",37,1.07689
"timpeall",37,1.07689
"tionscantach",37,1.07689
"tocsaineach",37,1.07689
"cruaigh",37,1.07689
"tírghrách",37,1.07689
"impíoch",37,1.07689
"uisciúil",37,1.07689
"indíotáil",37,1.07689
"cónúil",37,1.07689
"preabach",37,1.07689
"leon",37,1.07689
"láithrigh",37,1.07689
"fhiosrai",37,1.07689
"armúrtha",37,1.07689
"líomhnai",37,1.07689
"dhlíthean",37,1.07689
"macnasach",37,1.07689
"cnuasaigh",37,1.07689
"traochta",37,1.07689
"págánta",37,1.07689
"mífhortúnach",37,1.07689
"soisial",37,1.07689
"gheaf",37,1.07689
"fadradharc",36,1.04778
"dúin",36,1.04778
"och",36,1.04778
"comharsan",36,1.04778
"pioc",36,1.04778
"eipiciúil",36,1.04778
"ruaig",36,1.04778
"glóthach",36,1.04778
"liathghlas",36,1.04778
"siansach",36,1.04778
"treallúsach",36,1.04778
"gobach",36,1.04778
"rinneach",36,1.04778
"trasnaigh",36,1.04778
"gabáis",36,1.04778
"storrúil",36,1.04778
"geaf",36,1.04778
"craith",36,1.04778
"smúitiúil",36,1.04778
"sábhail",36,1.04778
"imdhíon",36,1.04778
"céadach",36,1.04778
"intuaslagtha",36,1.04778
"heagrai",36,1.04778
"vatacán",36,1.04778
"dearmadach",36,1.04778
"réamhstairiúil",36,1.04778
"léasach",36,1.04778
"calc",36,1.04778
"dofhulaingthe",36,1.04778
"an-shás",36,1.04778
"chothai",36,1.04778
"ghortai",35,1.01868
"aoldai",35,1.01868
"fadaigh",35,1.01868
"bpoinn",35,1.01868
"sciathán",35,1.01868
"fuíoch",35,1.01868
"fiaclóireach",35,1.01868
"coimpléascach",35,1.01868
"míofar",35,1.01868
"reai",35,1.01868
"foirgni",35,1.01868
"fearga",35,1.01868
"piachánach",35,1.01868
"státúil",35,1.01868
"tsocrai",35,1.01868
"sítheach",35,1.01868
"gradamach",35,1.01868
"táirgiúil",35,1.01868
"tóig",35,1.01868
"géagach",35,1.01868
"síolraigh",35,1.01868
"allas",35,1.01868
"imigéiniúil",35,1.01868
"uiscigh",35,1.01868
"infhaighte",35,1.01868
"inimirceach",35,1.01868
"insligh",35,1.01868
"alpach",35,1.01868
"ríomh",35,1.01868
"áibhéalach",35,1.01868
"loiti",35,1.01868
"ceartaigh",35,1.01868
"charad",35,1.01868
"diongbhál",35,1.01868
"taoidmhear",35,1.01868
"dreoite",35,1.01868
"droimníneach",35,1.01868
"dualach",35,1.01868
"breithnigh",34,0.98957
"pragmatach",34,0.98957
"pharáis",34,0.98957
"réamhshocrai",34,0.98957
"micreathonn",34,0.98957
"sníomh",34,0.98957
"sliogánach",34,0.98957
"scríob",34,0.98957
"fíréanta",34,0.98957
"connacht",34,0.98957
"subhach",34,0.98957
"t-léin",34,0.98957
"carnai",34,0.98957
"triopallach",34,0.98957
"sailleach",34,0.98957
"cancrach",34,0.98957
"céimseatúil",34,0.98957
"carbónmhar",34,0.98957
"iomaireach",34,0.98957
"cuanna",34,0.98957
"oirmhinneach",34,0.98957
"cuibhiúil",34,0.98957
"mai",34,0.98957
"mhaisi",34,0.98957
"méadaitheach",34,0.98957
"míchumtha",34,0.98957
"ndéan",34,0.98957
"onnmhairíoch",33,0.96047
"polltach",33,0.96047
"ngnoi",33,0.96047
"raghnall",33,0.96047
"páirtnéireach",33,0.96047
"fail",33,0.96047
"feolmhar",33,0.96047
"saolaigh",33,0.96047
"scléipeach",33,0.96047
"bheiri",33,0.96047
"spréach",33,0.96047
"treoch",33,0.96047
"sheanbhunai",33,0.96047
"clúmhill",33,0.96047
"sloinne",33,0.96047
"fáidhiúil",33,0.96047
"soláimhsithe",33,0.96047
"trádálach",33,0.96047
"statach",33,0.96047
"giorraigh",33,0.96047
"creid",33,0.96047
"gruagach",33,0.96047
"tíolaic",33,0.96047
"gairmiúlach",33,0.96047
"fiuchphoin",33,0.96047
"oighreach",33,0.96047
"óigeanta",33,0.96047
"n-eath",33,0.96047
"crúcach",33,0.96047
"cóiriúil",33,0.96047
"leath",33,0.96047
"shín",33,0.96047
"dúnárasach",33,0.96047
"maorlathach",33,0.96047
"mbái",33,0.96047
"anai",33,0.96047
"mothallach",33,0.96047
"míchuibheasach",33,0.96047
"dtionóntai",33,0.96047
"neartaigh",32,0.93136
"teirmeach",32,0.93136
"admhaigh",32,0.93136
"cneasaigh",32,0.93136
"ciotrúnta",32,0.93136
"ficsean",32,0.93136
"bórach",32,0.93136
"rianaigh",32,0.93136
"fruili",32,0.93136
"soilsigh",32,0.93136
"suirbhéi",32,0.93136
"gairgeach",32,0.93136
"tabhacht",32,0.93136
"gealltóireach",32,0.93136
"geoiméadrach",32,0.93136
"airigh",32,0.93136
"thíosluai",32,0.93136
"buirgéiseach",32,0.93136
"traenáil",32,0.93136
"stóinsithe",32,0.93136
"tíreolai",32,0.93136
"tallannach",32,0.93136
"nafilíoch",32,0.93136
"canúnach",32,0.93136
"insealbhaigh",32,0.93136
"réamhtheachtach",32,0.93136
"ion",32,0.93136
"ionstraimeach",32,0.93136
"lachna",32,0.93136
"lastoir",32,0.93136
"leispiach",32,0.93136
"tacúil",32,0.93136
"ceathach",32,0.93136
"ceoch",32,0.93136
"beathaigh",32,0.93136
"aggrega",32,0.93136
"baineannach",32,0.93136
"aigeant",32,0.93136
"mhaí",32,0.93136
"an-thábhacht",32,0.93136
"íobartach",32,0.93136
"ainglí",32,0.93136
"abal",32,0.93136
"aistreach",32,0.93136
"cianach",31,0.90226
"bliantiúil",31,0.90226
"cluasach",31,0.90226
"tigh",31,0.90226
"pointeáil",31,0.90226
"creathánach",31,0.90226
"eachaíoch",31,0.90226
"ainsealach",31,0.90226
"airbheartai",31,0.90226
"soiscéalach",31,0.90226
"splanc",31,0.90226
"deaslámhach",31,0.90226
"spártha",31,0.90226
"suanmhar",31,0.90226
"galaigh",31,0.90226
"ráithiúil",31,0.90226
"creim",31,0.90226
"nósmhar",31,0.90226
"lómhar",31,0.90226
"inbhraite",31,0.90226
"shiofón",31,0.90226
"cúb",31,0.90226
"cúrach",31,0.90226
"catalaíoch",31,0.90226
"modhnaigh",31,0.90226
"dea-eagrai",31,0.90226
"tagthai",31,0.90226
"dhli",31,0.90226
"tai",31,0.90226
"geimhriúil",31,0.90226
"anacair",31,0.90226
"anacrach",31,0.90226
"bainniúil",31,0.90226
"míniú",31,0.90226
"bladhmannach",30,0.87315
"oidhreachtúil",30,0.87315
"oirnigh",30,0.87315
"ghrátáil",30,0.87315
"anásta",30,0.87315
"roinnteach",30,0.87315
"ronnach",30,0.87315
"fha",30,0.87315
"scuabach",30,0.87315
"shiamsaíoch",30,0.87315
"comhbheartai",30,0.87315
"maslaigh",30,0.87315
"srónach",30,0.87315
"nuafhoilsi",30,0.87315
"galraigh",30,0.87315
"sómasach",30,0.87315
"stálaigh",30,0.87315
"nótáilte",30,0.87315
"gluair",30,0.87315
"easpach",30,0.87315
"tíoránta",30,0.87315
"grádaigh",30,0.87315
"uiscedhíonach",30,0.87315
"réamhullmhai",30,0.87315
"inchosan",30,0.87315
"cairdiach",30,0.87315
"inchúiti",30,0.87315
"inghnóthai",30,0.87315
"inólta",30,0.87315
"ionad",30,0.87315
"armáil",30,0.87315
"shmaoin",30,0.87315
"dearthóireach",30,0.87315
"áirgiúil",30,0.87315
"lugh",30,0.87315
"lántsás",30,0.87315
"ceobhránach",30,0.87315
"spásúl",30,0.87315
"dobhogtha",30,0.87315
"próiseáil",30,0.87315
"miotasach",30,0.87315
"modheolaíoch",30,0.87315
"mongach",30,0.87315
"ilchríoch",30,0.87315
"díbhirceach",29,0.84405
"díláraigh",29,0.84405
"ollann",29,0.84405
"neamhúsáid",29,0.84405
"thái",29,0.84405
"pusach",29,0.84405
"bpoblachtán",29,0.84405
"rabhnáilte",29,0.84405
"reitriciúil",29,0.84405
"tochtmhar",29,0.84405
"téacht",29,0.84405
"breabhsánta",29,0.84405
"fhill",29,0.84405
"rún",29,0.84405
"filiún",29,0.84405
"briotán",29,0.84405
"sochreidte",29,0.84405
"suimigh",29,0.84405
"athbhríoch",29,0.84405
"fúi",29,0.84405
"toi",29,0.84405
"treisigh",29,0.84405
"íobair",29,0.84405
"galrach",29,0.84405
"uimhrigh",29,0.84405
"baisti",29,0.84405
"seiftiúil",29,0.84405
"cróineolaíoch",29,0.84405
"intreach",29,0.84405
"daonnacht",29,0.84405
"léasaigh",29,0.84405
"ian",29,0.84405
"gearánai",29,0.84405
"míleatach",29,0.84405
"díleách",28,0.81494
"díscaoil",28,0.81494
"olúil",28,0.81494
"dúilmhear",28,0.81494
"cinsealach",28,0.81494
"paráis",28,0.81494
"phlódai",28,0.81494
"easumhal",28,0.81494
"bogásach",28,0.81494
"aont",28,0.81494
"ngnai",28,0.81494
"reathach",28,0.81494
"faíoch",28,0.81494
"phoblachtai",28,0.81494
"sampla",28,0.81494
"saobh",28,0.81494
"fimíneach",28,0.81494
"coinneálach",28,0.81494
"féin-fhostai",28,0.81494
"arracht",28,0.81494
"got",28,0.81494
"scéalt",28,0.81494
"seachrán",28,0.81494
"taosc",28,0.81494
"aisghair",28,0.81494
"tradisiún",28,0.81494
"athscríobh",28,0.81494
"atáirg",28,0.81494
"tíosach",28,0.81494
"cóiriú",28,0.81494
"cúigeach",28,0.81494
"vo",28,0.81494
"iri",28,0.81494
"wro",28,0.81494
"leaisteach",28,0.81494
"leathanaigeanta",28,0.81494
"liriceach",28,0.81494
"dhraíocht",28,0.81494
"cuileach",28,0.81494
"éagos",28,0.81494
"marcál",28,0.81494
"comhchosach",28,0.81494
"talamhaíoch",28,0.81494
"modartha",28,0.81494
"máchaileach",28,0.81494
"máithriúil",28,0.81494
"mórpháirti",28,0.81494
"nean",27,0.78584
"cigilteach",27,0.78584
"oighreata",27,0.78584
"pléineáilte",27,0.78584
"feil",27,0.78584
"feilméireach",27,0.78584
"comhairle",27,0.78584
"gnói",27,0.78584
"compórd",27,0.78584
"stracai",27,0.78584
"athartha",27,0.78584
"thionóntai",27,0.78584
"nótáil",27,0.78584
"traol",27,0.78584
"foirtil",27,0.78584
"turc",27,0.78584
"cuntas",27,0.78584
"imthigh",27,0.78584
"cásmhar",27,0.78584
"allmhairíoch",27,0.78584
"urghránna",27,0.78584
"súchaite",27,0.78584
"cuibhrigh",27,0.78584
"láncháili",27,0.78584
"mhionsonrai",27,0.78584
"chlóbhuail",27,0.78584
"sleabhac",27,0.78584
"mionscior",27,0.78584
"misteach",27,0.78584
"mothaigh",27,0.78584
"fhuin",27,0.78584
"chothrom",27,0.78584
"bhuaicphoin",27,0.78584
"cranrach",26,0.75673
"nuafhilíoch",26,0.75673
"gránach",26,0.75673
"pailliam",26,0.75673
"ciorcal",26,0.75673
"eascairdiúil",26,0.75673
"pléite",26,0.75673
"támh",26,0.75673
"fadbhreathnaitheach",26,0.75673
"fadcheannach",26,0.75673
"ragairneach",26,0.75673
"breacai",26,0.75673
"sabháil",26,0.75673
"saibhrigh",26,0.75673
"fiafraitheach",26,0.75673
"díbri",26,0.75673
"bristeach",26,0.75673
"sine",26,0.75673
"scrábach",26,0.75673
"tarlach",26,0.75673
"féinseol",26,0.75673
"tas",26,0.75673
"teasc",26,0.75673
"contae",26,0.75673
"treallach",26,0.75673
"Victeoiriach",26,0.75673
"téaltaigh",26,0.75673
"críochnuigh",26,0.75673
"géibheannach",26,0.75673
"hairi",26,0.75673
"éalaitheach",26,0.75673
"uimhriúil",26,0.75673
"inchothai",26,0.75673
"bantr",26,0.75673
"inmheas",26,0.75673
"ai",26,0.75673
"fheidhmi",26,0.75673
"cúlánta",26,0.75673
"abál",26,0.75673
"laethean",26,0.75673
"áitithe",26,0.75673
"dhrámat",26,0.75673
"Neoiliteach",26,0.75673
"maraí",26,0.75673
"mbunai",26,0.75673
"mhionai",26,0.75673
"slain",26,0.75673
"éli",26,0.75673
"draíochtach",26,0.75673
"páirceál",26,0.75673
"chos",26,0.75673
"frithfhreang",26,0.75673
"andúchasach",26,0.75673
"mórathrui",26,0.75673
"calaoiseach",26,0.75673
"chócaráil",25,0.72763
"nimhigh",25,0.72763
"chéadluai",25,0.72763
"chúirtealáis",25,0.72763
"náisún",25,0.72763
"néaróiseach",25,0.72763
"bligh",25,0.72763
"plandálai",25,0.72763
"giodamach",25,0.72763
"eolas",25,0.72763
"creidmheach",25,0.72763
"glasbhuí",25,0.72763
"fhéinmharai",25,0.72763
"comhshocraíoch",25,0.72763
"aoibhiúil",25,0.72763
"scafa",25,0.72763
"reasún",25,0.72763
"cistean",25,0.72763
"araiciseach",25,0.72763
"colmbán",25,0.72763
"buaibheach",25,0.72763
"astai",25,0.72763
"buailteach",25,0.72763
"fíoraigh",25,0.72763
"gairmi",25,0.72763
"sáth",25,0.72763
"síonchaite",25,0.72763
"gcomhleacai",25,0.72763
"sobal",25,0.72763
"athlonnai",25,0.72763
"théi",25,0.72763
"créúil",25,0.72763
"gréiscdhíonach",25,0.72763
"athaontaigh",25,0.72763
"traolach",25,0.72763
"réaltógach",25,0.72763
"gort",25,0.72763
"caidéiseach",25,0.72763
"créachtach",25,0.72763
"fadfhulangach",25,0.72763
"cuardaigh",25,0.72763
"seirbheáil",25,0.72763
"toirniúil",25,0.72763
"iníon",25,0.72763
"iolraigh",25,0.72763
"carn",25,0.72763
"Laighneach",25,0.72763
"isean",25,0.72763
"ábhar",25,0.72763
"ceannairceach",25,0.72763
"eor-p",25,0.72763
"monaraigh",25,0.72763
"dhaonnacht",25,0.72763
"ma",25,0.72763
"éagobhsaí",25,0.72763
"taispeántach",25,0.72763
"dithneasach",25,0.72763
"do-aitheanta",25,0.72763
"do-athraithe",25,0.72763
"dodhearmadta",25,0.72763
"doiciméadach",25,0.72763
"dorrga",25,0.72763
"míonla",25,0.72763
"míthapa",25,0.72763
"déimeagraf",24,0.69852
"dénártha",24,0.69852
"díghalraigh",24,0.69852
"ciar",24,0.69852
"Doiminiceach",24,0.69852
"píirti",24,0.69852
"paróisteach",24,0.69852
"cisti",24,0.69852
"eolaí",24,0.69852
"fadbhunai",24,0.69852
"soimin",24,0.69852
"ráthaigh",24,0.69852
"glasáil",24,0.69852
"sagartúil",24,0.69852
"coimeádta",24,0.69852
"scréach",24,0.69852
"foirceanta",24,0.69852
"comhchiallach",24,0.69852
"sleamhnaigh",24,0.69852
"féinfhostaíoch",24,0.69852
"srathach",24,0.69852
"stobh",24,0.69852
"eascair",24,0.69852
"cos",24,0.69852
"aranta",24,0.69852
"gearrshaolach",24,0.69852
"ghnéas",24,0.69852
"béaloscail",24,0.69852
"gintlí",24,0.69852
"a-m",24,0.69852
"tnáith",24,0.69852
"tuirling",24,0.69852
"grúmaeireach",24,0.69852
"uireasach",24,0.69852
"urghnách",24,0.69852
"uallach",24,0.69852
"hidreaclór",24,0.69852
"áititheach",24,0.69852
"ilchodach",24,0.69852
"cársánach",24,0.69852
"cúlchis",24,0.69852
"carthann",24,0.69852
"cúngaigh",24,0.69852
"heilléan",24,0.69852
"lachtach",24,0.69852
"leáphoin",24,0.69852
"maiteach",24,0.69852
"manachúil",24,0.69852
"manatay",24,0.69852
"híiri",24,0.69852
"cuimsigh",24,0.69852
"geil",24,0.69852
"aigéanach",24,0.69852
"íosán",24,0.69852
"aimlithe",23,0.66942
"chái",23,0.66942
"teimhneach",23,0.66942
"smálai",23,0.66942
"díspeag",23,0.66942
"each",23,0.66942
"théacs",23,0.66942
"earcai",23,0.66942
"faghartha",23,0.66942
"póraigh",23,0.66942
"rai",23,0.66942
"rafar",23,0.66942
"ranníocaíoch",23,0.66942
"gríosaigh",23,0.66942
"rian",23,0.66942
"tiún",23,0.66942
"rothaigh",23,0.66942
"réasúnaíoch",23,0.66942
"fhoscail",23,0.66942
"sann",23,0.66942
"coimeád",23,0.66942
"ainrianta",23,0.66942
"shíciatr",23,0.66942
"sciot",23,0.66942
"comheagrai",23,0.66942
"smiot",23,0.66942
"snámhach",23,0.66942
"so-léi",23,0.66942
"socraíoch",23,0.66942
"fábhar",23,0.66942
"speisialaigh",23,0.66942
"buain",23,0.66942
"aeraigh",23,0.66942
"séi",23,0.66942
"athchúrsáil",23,0.66942
"taisc",23,0.66942
"ghlún",23,0.66942
"teiripeach",23,0.66942
"teál",23,0.66942
"gréisceach",23,0.66942
"tolg",23,0.66942
"traidisún",23,0.66942
"treallchogaíoch",23,0.66942
"gnáth",23,0.66942
"gráiniúil",23,0.66942
"téadach",23,0.66942
"tí",23,0.66942
"gaiscíoch",23,0.66942
"pol",23,0.66942
"capi",23,0.66942
"absalóideach",23,0.66942
"bardasach",23,0.66942
"oiliúnai",23,0.66942
"iontaobhach",23,0.66942
"ceachartha",23,0.66942
"cuartai",23,0.66942
"ceardúil",23,0.66942
"luathscéal",23,0.66942
"árachaigh",23,0.66942
"lárchathr",23,0.66942
"léirmhíni",23,0.66942
"mearaigh",23,0.66942
"mheas",23,0.66942
"mhonarai",23,0.66942
"báiteach",23,0.66942
"dochreid",23,0.66942
"muscail",23,0.66942
"mómhar",23,0.66942
"duaisiúil",23,0.66942
"bhó",22,0.64031
"neamhchosan",22,0.64031
"díothaigh",22,0.64031
"ainbhiosach",22,0.64031
"piocai",22,0.64031
"eireann",22,0.64031
"pribhléideach",22,0.64031
"fadsaolach",22,0.64031
"randam",22,0.64031
"ainmhianach",22,0.64031
"fhron",22,0.64031
"scagach",22,0.64031
"scrís",22,0.64031
"crosáil",22,0.64031
"shlánai",22,0.64031
"comhlach",22,0.64031
"spreagthach",22,0.64031
"spágach",22,0.64031
"fíreann",22,0.64031
"gabhán",22,0.64031
"gae",22,0.64031
"suaithní",22,0.64031
"bunata",22,0.64031
"tagrach",22,0.64031
"scóráil",22,0.64031
"aistritheach",22,0.64031
"béalscaoilte",22,0.64031
"tiomsaigh",22,0.64031
"gliobach",22,0.64031
"aisíoc",22,0.64031
"gnéas",22,0.64031
"tréaman",22,0.64031
"trófai",22,0.64031
"turgnamh",22,0.64031
"uaireann",22,0.64031
"heacnam",22,0.64031
"coláiste",22,0.64031
"imeaglai",22,0.64031
"impiriúl",22,0.64031
"agóideach",22,0.64031
"caolaigeanta",22,0.64031
"leathfhada",22,0.64031
"liathdhonn",22,0.64031
"lomnoch",22,0.64031
"ceartaiseach",22,0.64031
"Beinidicteach",22,0.64031
"dhualdai",22,0.64031
"calcai",22,0.64031
"matúsal",22,0.64031
"beáráil",22,0.64031
"measúnui",22,0.64031
"meath",22,0.64031
"dlíthíoch",22,0.64031
"dlúsúil",22,0.64031
"do-inste",22,0.64031
"dochaite",22,0.64031
"sainiúlach",22,0.64031
"bhfoilsi",22,0.64031
"máthartha",22,0.64031
"driopásach",22,0.64031
"móráltach",22,0.64031
"n-aontachtai",22,0.64031
"dáinséar",21,0.61121
"nua-bhunai",21,0.61121
"phleanáil",21,0.61121
"phriontáil",21,0.61121
"poinn",21,0.61121
"príosúnai",21,0.61121
"pulc",21,0.61121
"remo",21,0.61121
"rios",21,0.61121
"réaltnéal",21,0.61121
"réamhbheartai",21,0.61121
"fhealsún",21,0.61121
"sabóideach",21,0.61121
"spalp",21,0.61121
"sciomair",21,0.61121
"scrudui",21,0.61121
"fluaraiseach",21,0.61121
"foclaíoch",21,0.61121
"foirgthe",21,0.61121
"freastal",21,0.61121
"slav",21,0.61121
"smachtúil",21,0.61121
"spiadóireach",21,0.61121
"tréscaoilteach",21,0.61121
"buandlúi",21,0.61121
"fústrach",21,0.61121
"concre",21,0.61121
"gearr-radharcach",21,0.61121
"gearán",21,0.61121
"tuillteanach",21,0.61121
"athfhillteach",21,0.61121
"ghluais",21,0.61121
"toghchán",21,0.61121
"triall",21,0.61121
"gátarach",21,0.61121
"gríosach",21,0.61121
"uachtarúil",21,0.61121
"géill",21,0.61121
"corraiceach",21,0.61121
"íogaireach",21,0.61121
"cannaigh",21,0.61121
"iomrallach",21,0.61121
"cúiteach",21,0.61121
"cúlghabhálach",21,0.61121
"damán",21,0.61121
"frithir",21,0.61121
"ábál",21,0.61121
"áitigh",21,0.61121
"íontach",21,0.61121
"dhosmál",21,0.61121
"mallachtach",21,0.61121
"aerlín",21,0.61121
"bainisti",21,0.61121
"mhórál",21,0.61121
"ministreach",21,0.61121
"chomhbheartai",21,0.61121
"muircheart",21,0.61121
"méaldrámata",21,0.61121
"chonr",21,0.61121
"míosta",21,0.61121
"úrchaomhnai",21,0.61121
"déidliach",20,0.58210
"dídeanach",20,0.58210
"néall",20,0.58210
"dúrún",20,0.58210
"eachtraigh",20,0.58210
"cladhartha",20,0.58210
"socheolai",20,0.58210
"clasach",20,0.58210
"tionsclaigh",20,0.58210
"aonghnéitheach",20,0.58210
"péindlí",20,0.58210
"glasghorm",20,0.58210
"aontumha",20,0.58210
"sacraimintiúil",20,0.58210
"sac",20,0.58210
"sciorrach",20,0.58210
"seileachán",20,0.58210
"fraochta",20,0.58210
"soiscéalaíoch",20,0.58210
"fábhr",20,0.58210
"spioradúil",20,0.58210
"astaíoch",20,0.58210
"fócasai",20,0.58210
"stromp",20,0.58210
"tacht",20,0.58210
"tagh",20,0.58210
"cosnochtai",20,0.58210
"ghealltóireach",20,0.58210
"giongach",20,0.58210
"glaineach",20,0.58210
"trasnánach",20,0.58210
"treocheangail",20,0.58210
"atuirseach",20,0.58210
"tráchtál",20,0.58210
"cruinne",20,0.58210
"gread",20,0.58210
"tuairisc",20,0.58210
"griandói",20,0.58210
"guairneánach",20,0.58210
"géaraigh",20,0.58210
"shaill",20,0.58210
"iltíreach",20,0.58210
"abartha",20,0.58210
"agóidíoch",20,0.58210
"inoibrithe",20,0.58210
"cúiseach",20,0.58210
"leathbhái",20,0.58210
"deasghnáth",20,0.58210
"cearmansaíoch",20,0.58210
"luiteach",20,0.58210
"hurrai",20,0.58210
"léirmheast",20,0.58210
"malartui",20,0.58210
"éagmaiseach",20,0.58210
"aidhmeannach",20,0.58210
"mearbhlach",20,0.58210
"bharóc",20,0.58210
"comhchruinn",20,0.58210
"doircheach",20,0.58210
"míchéat",20,0.58210
"n-údarui",20,0.58210
"dáili",19,0.55300
"dátaigh",19,0.55300
"díbheirgeach",19,0.55300
"díbheo",19,0.55300
"bioraigh",19,0.55300
"chúlchis",19,0.55300
"náisiun",19,0.55300
"díoscánach",19,0.55300
"pacáisti",19,0.55300
"peannaideach",19,0.55300
"plucach",19,0.55300
"timpeallghearr",19,0.55300
