"corpus","gaeilge2"
"subcorpus","-"
"Darú",11,0.32016
"Donnaigh",11,0.32016
"praisce",11,0.32016
"Ketch",11,0.32016
"pride",11,0.32016
"primitive",11,0.32016
"animals",11,0.32016
"announced",11,0.32016
"Dawe",11,0.32016
"programming",11,0.32016
"anois-",11,0.32016
"proinnseomra",11,0.32016
"proiséas",11,0.32016
"antaiseipteán",11,0.32016
"proprietor",11,0.32016
"anuaraidh",11,0.32016
"anuiridh",11,0.32016
"aodhaire",11,0.32016
"Kila",11,0.32016
"pulc",11,0.32016
"páirín",11,0.32016
"Kimberleys",11,0.32016
"Barkley",11,0.32016
"applied",11,0.32016
"píopaire",11,0.32016
"píseanna",11,0.32016
"pípeanna",11,0.32016
"araidheacht",11,0.32016
"Kitchener",11,0.32016
"rabhl",11,0.32016
"rachmasóir",11,0.32016
"rachtaíl",11,0.32016
"sunc",11,0.32016
"planning",11,0.32016
"Know",11,0.32016
"Koran",11,0.32016
"Kovacs",11,0.32016
"Kramer",11,0.32016
"reanglamán",11,0.32016
"receiving",11,0.32016
"regulations",11,0.32016
"regret",11,0.32016
"amharchlann",11,0.32016
"reigiún",11,0.32016
"remembered",11,0.32016
"removed",11,0.32016
"reothalach",11,0.32016
"reoán",11,0.32016
"Delight",11,0.32016
"athchraoltaí",11,0.32016
"restaurant",11,0.32016
"Deloitte",11,0.32016
"athghuth",11,0.32016
"athruigh",11,0.32016
"righnigh",11,0.32016
"rinse",11,0.32016
"athstruchtúrtha",11,0.32016
"atraen",11,0.32016
"Lagos",11,0.32016
"Dora",11,0.32016
"Laitin",11,0.32016
"Barrymore",11,0.32016
"Turning",11,0.32016
"bailtín",11,0.32016
"bainistreás",11,0.32016
"réasúntacht",11,0.32016
"balacs",11,0.32016
"ríomhchlárúcháin",11,0.32016
"róipín",11,0.32016
"Dessius",11,0.32016
"rúdaí",11,0.32016
"rúnscríbhinn",11,0.32016
"sach",11,0.32016
"saghdair",11,0.32016
"saighneoireacht",11,0.32016
"Lausanne",11,0.32016
"Devitt",11,0.32016
"saitheach",11,0.32016
"súilíneach",11,0.32016
"Lawn",11,0.32016
"basail",11,0.32016
"Bóihéamaigh",11,0.32016
"Leacáin",11,0.32016
"saoirsigh",11,0.32016
"bath",11,0.32016
"batteries",11,0.32016
"Dhaeid",11,0.32016
"sapiens",11,0.32016
"poncánaigh",11,0.32016
"beal",11,0.32016
"Leargáin",11,0.32016
"scaineagán",11,0.32016
"t-aont",11,0.32016
"Bóramha",11,0.32016
"buirgléir",11,0.32016
"begun",11,0.32016
"sceartán",11,0.32016
"beings",11,0.32016
"beiridh",11,0.32016
"Dhiarmuda",11,0.32016
"scimeáil",11,0.32016
"mbainid",11,0.32016
"sclóin",11,0.32016
"beul",11,0.32016
"Dhomhnalláin",11,0.32016
"bfeidhm",11,0.32016
"Lem",11,0.32016
"bfhuile",11,0.32016
"Bass",11,0.32016
"scrioptúrtha",11,0.32016
"bhair",11,0.32016
"scrábtha",11,0.32016
"scríobaire",11,0.32016
"Dhuibhlinne",11,0.32016
"CH",11,0.32016
"scur",11,0.32016
"bhearád",11,0.32016
"Kernaghan",11,0.32016
"bhfaighdís",11,0.32016
"bhfaighteoir",11,0.32016
"bhfailí",11,0.32016
"seacht-aine",11,0.32016
"Dhíomsaigh",11,0.32016
"bhfaró",11,0.32016
"seadó",11,0.32016
"seait",11,0.32016
"bhfeasacht",11,0.32016
"sean-Ghaeilge",11,0.32016
"bhfeidhmíocht",11,0.32016
"AU",11,0.32016
"sean-shaol",11,0.32016
"seanaimsireacht",11,0.32016
"bhfiantas",11,0.32016
"bhfilipíní",11,0.32016
"bhforfheidhmi",11,0.32016
"seascán",11,0.32016
"seascín",11,0.32016
"Lile",11,0.32016
"Lilliput",11,0.32016
"Main",11,0.32016
"seicin",11,0.32016
"anima",11,0.32016
"bhfád",11,0.32016
"seiftiúlacht",11,0.32016
"seirfeach",11,0.32016
"senior",11,0.32016
"bhilleog",11,0.32016
"butt",11,0.32016
"Cadáin",11,0.32016
"bhláith",11,0.32016
"sets",11,0.32016
"bhraoiníní",11,0.32016
"bhratphortach",11,0.32016
"sheasaíos",11,0.32016
"shimidín",11,0.32016
"Cafe",11,0.32016
"sholáthróir",11,0.32016
"bhuaibh",11,0.32016
"bhuanionadaithe",11,0.32016
"shuimiúlacht",11,0.32016
"shular",11,0.32016
"bhuirgéiseacht",11,0.32016
"shábhailt",11,0.32016
"bhun-",11,0.32016
"bhutch",11,0.32016
"bháidh",11,0.32016
"Bayeux",11,0.32016
"bhéul",11,0.32016
"sil-",11,0.32016
"singer",11,0.32016
"Lock",11,0.32016
"Canary",11,0.32016
"biamhar",11,0.32016
"Cailvínigh",11,0.32016
"bibe",11,0.32016
"bien",11,0.32016
"sitceach",11,0.32016
"Loire",11,0.32016
"práiscín",11,0.32016
"Caimbéal",11,0.32016
"Direct",11,0.32016
"sleep",11,0.32016
"Dirrane",11,0.32016
"sluasaide",11,0.32016
"bleadar",11,0.32016
"Looking",11,0.32016
"smiog",11,0.32016
"blás",11,0.32016
"Cairo",11,0.32016
"bléitse",11,0.32016
"boats",11,0.32016
"snámhraic",11,0.32016
"bocaod",11,0.32016
"Airméin",11,0.32016
"soilbhreas",11,0.32016
"soldiers",11,0.32016
"Loyola",11,0.32016
"Caisteal",11,0.32016
"Dodgson",11,0.32016
"spiacán",11,0.32016
"Doibhilin",11,0.32016
"bpaiteolaí",11,0.32016
"bpiast",11,0.32016
"spádaí",11,0.32016
"bplaosc",11,0.32016
"bpolannach",11,0.32016
"Lulu",11,0.32016
"spóirseach",11,0.32016
"spúinseach",11,0.32016
"sreath",11,0.32016
"sriantacha",11,0.32016
"sriantachtaí",11,0.32016
"Luton",11,0.32016
"Calais",11,0.32016
"srúm",11,0.32016
"staidhce",11,0.32016
"teibi",11,0.32016
"braiteoirí",11,0.32016
"stares",11,0.32016
"starógacht",11,0.32016
"steach",11,0.32016
"steps",11,0.32016
"Lácóta",11,0.32016
"breagh",11,0.32016
"páirti",11,0.32016
"Donabháin",11,0.32016
"breataineacha",11,0.32016
"breischéim",11,0.32016
"Beast",11,0.32016
"Línhalla",11,0.32016
"stráinséara",11,0.32016
"brionnaigh",11,0.32016
"stádar",11,0.32016
"Callely",11,0.32016
"stéaróideach",11,0.32016
"Callisoe",11,0.32016
"succeeded",11,0.32016
"brothers",11,0.32016
"suimiúchán",11,0.32016
"bruis",11,0.32016
"suis",11,0.32016
"Maca",11,0.32016
"sábhadóireachta",11,0.32016
"sár-",11,0.32016
"sámhán",11,0.32016
"Maddrell",11,0.32016
"síniúchán",11,0.32016
"Dorian",11,0.32016
"síolrach",11,0.32016
"síonaíl",11,0.32016
"sófa",11,0.32016
"bucaeid",11,0.32016
"súla",11,0.32016
"póganna",11,0.32016
"t-ardtheachta",11,0.32016
"t-oibritheoir",11,0.32016
"bum",11,0.32016
"Maidhcí",11,0.32016
"tabh",11,0.32016
"Downshire",11,0.32016
"tablets",11,0.32016
"Downside",11,0.32016
"tablóidí",11,0.32016
"Maighir",11,0.32016
"taid",11,0.32016
"burning",11,0.32016
"tail",11,0.32016
"busáras",11,0.32016
"Kit",11,0.32016
"báirneach",11,0.32016
"talmhaigh",11,0.32016
"Majorca",11,0.32016
"bárra",11,0.32016
"taobh-bhallaí",11,0.32016
"taobhóige",11,0.32016
"taobhóg",11,0.32016
"béalmhír",11,0.32016
"béaloideasaí",11,0.32016
"tast",11,0.32016
"tathar",11,0.32016
"tchínn",11,0.32016
"teaghaisí",11,0.32016
"teagmhálacha",11,0.32016
"teangaí",11,0.32016
"Manchu",11,0.32016
"thiontóigh",11,0.32016
"teicniúlacht",11,0.32016
"mhaistir",11,0.32016
"teiléacs",11,0.32016
"Mansfield",11,0.32016
"Dréachtóra",11,0.32016
"Duagáin",11,0.32016
"cailin",11,0.32016
"thagaid",11,0.32016
"thairti",11,0.32016
"cailíocht",11,0.32016
"osclóir",11,0.32016
"Dehli",11,0.32016
"thaoille",11,0.32016
"theangach",11,0.32016
"thráma",11,0.32016
"Dubbeljoint",11,0.32016
"Anallód",11,0.32016
"theme",11,0.32016
"caismír",11,0.32016
"thugaid",11,0.32016
"thréigbheáilt",11,0.32016
"thuairim-se",11,0.32016
"Beetle",11,0.32016
"thús",11,0.32016
"Aitiúla",11,0.32016
"tiarn",11,0.32016
"Aoibheann",11,0.32016
"rannpháirt",11,0.32016
"tiománaidhe",11,0.32016
"tiúchán",11,0.32016
"tnáith",11,0.32016
"rant",11,0.32016
"Marquet",11,0.32016
"campabassos",11,0.32016
"cap",11,0.32016
"Marséla",11,0.32016
"caractéirí",11,0.32016
"tomacha",11,0.32016
"tomhaltas",11,0.32016
"Beigile",11,0.32016
"ailgíneacha",11,0.32016
"Capoeira",11,0.32016
"tostmhar",11,0.32016
"tough",11,0.32016
"carthaginians",11,0.32016
"Aoisliúntais",11,0.32016
"traicé",11,0.32016
"Loughrey",11,0.32016
"Dungloe",11,0.32016
"casúireacht",11,0.32016
"cater",11,0.32016
"Marin",11,0.32016
"caused",11,0.32016
"Maxwells",11,0.32016
"cava",11,0.32016
"Deirgeirt",11,0.32016
"Durba",11,0.32016
"trágas",11,0.32016
"Deirid",11,0.32016
"aside",11,0.32016
"tríth",11,0.32016
"recollections",11,0.32016
"tsean-Ghréig",11,0.32016
"McCrimmon",11,0.32016
"tsluaigh",11,0.32016
"tslóigh",11,0.32016
"McCusker",11,0.32016
"tsáirséalaigh",11,0.32016
"tsíctheangeolaíocht",11,0.32016
"McEnroe",11,0.32016
"tuairmí",11,0.32016
"tuargan",11,0.32016
"cell",11,0.32016
"tuathghríosóir",11,0.32016
"central",11,0.32016
"tuigbheáilt",11,0.32016
"ceolmhaireacht",11,0.32016
"McGinty",11,0.32016
"tullach",11,0.32016
"tuna",11,0.32016
"McGuckian",11,0.32016
"tuíneach",11,0.32016
"tár",11,0.32016
"tástálaí",11,0.32016
"téacht",11,0.32016
"téacsúla",11,0.32016
"chanstan",11,0.32016
"Caron",11,0.32016
"Belgium",11,0.32016
"tíreachas",11,0.32016
"Belgrave",11,0.32016
"relevant",11,0.32016
"chathánach",11,0.32016
"uaislibh",11,0.32016
"Díreáin",11,0.32016
"Carraic",11,0.32016
"uaschamóg",11,0.32016
"ubhsceitheadh",11,0.32016
"uicht",11,0.32016
"uig",11,0.32016
"carachtéirí",11,0.32016
"uinge",11,0.32016
"Martini",11,0.32016
"Viasec",11,0.32016
"uiscerian",11,0.32016
"chiontúgo",11,0.32016
"Measaigh",11,0.32016
"Marvin",11,0.32016
"unison",11,0.32016
"chloisfir",11,0.32016
"chluasaibh",11,0.32016
"cardaí",11,0.32016
"vain",11,0.32016
"carnabhóir",11,0.32016
"Bellini",11,0.32016
"veinéiseach",11,0.32016
"vena",11,0.32016
"choist",11,0.32016
"váls",11,0.32016
"tort",11,0.32016
"rialachaí",11,0.32016
"chomhnuidhe",11,0.32016
"chonachtas",11,0.32016
"chop",11,0.32016
"Merrion",11,0.32016
"chraoiseach",11,0.32016
"áiritheoir",11,0.32016
"chreidmh",11,0.32016
"traipéisiam",11,0.32016
"chreimneála",11,0.32016
"Eachráin",11,0.32016
"Meánfhad",11,0.32016
"Vinycomb",11,0.32016
"miodhach",11,0.32016
"éibhlín",11,0.32016
"Mhaguidhir",11,0.32016
"chuis",11,0.32016
"Mhaighin",11,0.32016
"chumail",11,0.32016
"éirionn",11,0.32016
"í-",11,0.32016
"Mhanannais",11,0.32016
"treaspás",11,0.32016
"chárr",11,0.32016
"Mhaolra",11,0.32016
"treoirleabhrán",11,0.32016
"Eara",11,0.32016
"óigh",11,0.32016
"Earcú",11,0.32016
"chóír",11,0.32016
"Mheaspatáim",11,0.32016
"chúngaigeantacht",11,0.32016
"cathróireacht",11,0.32016
"útóipeach",11,0.32016
"Catch",11,0.32016
"Mherc",11,0.32016
"cincíseach",11,0.32016
"cineáltacht",11,0.32016
"Mhike",11,0.32016
"Laighneach",11,0.32016
"cinsealacht",11,0.32016
"ciomacha",11,0.32016
"circle",11,0.32016
"Iaith",11,0.32016
"clampála",11,0.32016
"claoninsint",11,0.32016
"Ecu",11,0.32016
"Cavendish",11,0.32016
"cleithire",11,0.32016
"cliantacht",11,0.32016
"clip",11,0.32016
"Ego",11,0.32016
"Middleton",11,0.32016
"Midway",11,0.32016
"clóraifill",11,0.32016
"clúidíní",11,0.32016
"Durban",11,0.32016
"Militant",11,0.32016
"cnuasta",11,0.32016
"cnáfairt",11,0.32016
"Milo",11,0.32016
"Milwall",11,0.32016
"Mines",11,0.32016
"cogal",11,0.32016
"Albans",11,0.32016
"coibhneasacht",11,0.32016
"coillearnach",11,0.32016
"coillearnaí",11,0.32016
"Ceasair",11,0.32016
"coinceap",11,0.32016
"coincleach",11,0.32016
"Eli",11,0.32016
"Elias",11,0.32016
"coinneáilt",11,0.32016
"Ceausescu",11,0.32016
"Arasaig",11,0.32016
"coiréalach",11,0.32016
"columbanus",11,0.32016
"comhaoiseach",11,0.32016
"comhchiallach",11,0.32016
"comhfhreagair",11,0.32016
"comhgaraí",11,0.32016
"Celt",11,0.32016
"Enduring",11,0.32016
"Morphey",11,0.32016
"Engine",11,0.32016
"comhraiceoir",11,0.32016
"comhréireanna",11,0.32016
"Census",11,0.32016
"comment",11,0.32016
"commissioners",11,0.32016
"Motors",11,0.32016
"Bethel",11,0.32016
"Mountcharles",11,0.32016
"comprador",11,0.32016
"Move",11,0.32016
"común",11,0.32016
"concar",11,0.32016
"Much",11,0.32016
"congaraí",11,0.32016
"ráthúla",11,0.32016
"connectionism",11,0.32016
"Muimhneacha",11,0.32016
"consent",11,0.32016
"Muinseó",11,0.32016
"continuous",11,0.32016
"contract",11,0.32016
"Chaesar",11,0.32016
"contrárdha",11,0.32016
"Mullingar",11,0.32016
"Erich",11,0.32016
"Bewleys",11,0.32016
"Mundi",11,0.32016
"Chairb",11,0.32016
"Erse",11,0.32016
"Eryri",11,0.32016
"count",11,0.32016
"crannaíl",11,0.32016
"Musée",11,0.32016
"Walesa",11,0.32016
"creachadóireacht",11,0.32016
"tslad",11,0.32016
"tslait",11,0.32016
"Eta",11,0.32016
"Máiread",11,0.32016
"Chambrens",11,0.32016
"ceathairuilleog",11,0.32016
"Champagne",11,0.32016
"Bhacchus",11,0.32016
"crosáil",11,0.32016
"crothóg",11,0.32016
"croutons",11,0.32016
"Míorúilthí",11,0.32016
"Bhaghdad",11,0.32016
"Eurostat",11,0.32016
"Chaodháin",11,0.32016
"Chaoimhghín",11,0.32016
"Nabhachó",11,0.32016
"Evergreen",11,0.32016
"Naitsíochais",11,0.32016
"cuainín",11,0.32016
"Namara",11,0.32016
"cuibhreannas",11,0.32016
"Napper",11,0.32016
"Charing",11,0.32016
"cuirp",11,0.32016
"cul",11,0.32016
"Navan",11,0.32016
"cumail",11,0.32016
"Ard-Scoil",11,0.32016
"Neal",11,0.32016
"Nealon",11,0.32016
"Neam",11,0.32016
"Neamhspleach",11,0.32016
"Neamhspléach",11,0.32016
"cuntasach",11,0.32016
"tsóivéid",11,0.32016
"curious",11,0.32016
"curra",11,0.32016
"spairt",11,0.32016
"cutter",11,0.32016
"Faighimse",11,0.32016
"Chathalláin",11,0.32016
"Neptune",11,0.32016
"Nest",11,0.32016
"cárr",11,0.32016
"céadchodán",11,0.32016
"Bhascaigh",11,0.32016
"céana",11,0.32016
"Watts",11,0.32016
"Newtown",11,0.32016
"Falla",11,0.32016
"Fallen",11,0.32016
"císanna",11,0.32016
"Nicaragua",11,0.32016
"cógaseolaíocht",11,0.32016
"Fanad",11,0.32016
"Fantaise",11,0.32016
"córda",11,0.32016
"Cheasta",11,0.32016
"Faoitigh",11,0.32016
"cúirséid",11,0.32016
"Alert",11,0.32016
"cúlseomraí",11,0.32016
"cúngaigeantacht",11,0.32016
"Nollendorf",11,0.32016
"cúrsóir",11,0.32016
"Fata",11,0.32016
"Notting",11,0.32016
"Novel",11,0.32016
"Nu",11,0.32016
"Bheice",11,0.32016
"das",11,0.32016
"daí",11,0.32016
"Fearachair",11,0.32016
"dea-dheartha",11,0.32016
"Nuremberg",11,0.32016
"deachtú",11,0.32016
"deallramh",11,0.32016
"dearnáil",11,0.32016
"OM",11,0.32016
"deemed",11,0.32016
"Bheirlin",11,0.32016
"Arena",11,0.32016
"Ogmios",11,0.32016
"Oid",11,0.32016
"Fellman",11,0.32016
"Chilliain",11,0.32016
"determined",11,0.32016
"deutsch",11,0.32016
"devoted",11,0.32016
"deárn",11,0.32016
"dhamáisti",11,0.32016
"Feoirling",11,0.32016
"dhearbhas",11,0.32016
"dheinid",11,0.32016
"dheirfiur",11,0.32016
"Chisholm",11,0.32016
"dhenamh",11,0.32016
"dhiarmaidín",11,0.32016
"Bhid",11,0.32016
"Onassis",11,0.32016
"dhlisteanacht",11,0.32016
"dhochtúr",11,0.32016
"barainneacht",11,0.32016
"Opel",11,0.32016
"dhroch-",11,0.32016
"Bhill",11,0.32016
"Déidliachta",11,0.32016
"dhéarna",11,0.32016
"téirim",11,0.32016
"téigle",11,0.32016
"dhíolaíochtaí",11,0.32016
"Ormsby",11,0.32016
"Chluaidh",11,0.32016
"diachas",11,0.32016
"dianchosc",11,0.32016
"dianleathadh",11,0.32016
"diarmuidín",11,0.32016
"dide",11,0.32016
"difficulties",11,0.32016
"típeanna",11,0.32016
"Fhinneadha",11,0.32016
"dinimice",11,0.32016
"Aristotle",11,0.32016
"Chlóidh",11,0.32016
"dire",11,0.32016
"discuss",11,0.32016
"dislocation",11,0.32016
"charged",11,0.32016
"distant",11,0.32016
"Fhlanncha",11,0.32016
"Pailís",11,0.32016
"Paint",11,0.32016
"Pairti",11,0.32016
"Palmer",11,0.32016
"Paloma",11,0.32016
"dogs",11,0.32016
"Panza",11,0.32016
"doinsiún",11,0.32016
"Papen",11,0.32016
"doll",11,0.32016
"dolmain",11,0.32016
"dominant",11,0.32016
"Cholumba",11,0.32016
"Passport",11,0.32016
"drill",11,0.32016
"drioll",11,0.32016
"Paudge",11,0.32016
"driver",11,0.32016
"Pavilion",11,0.32016
"driving",11,0.32016
"uairsin",11,0.32016
"drochfhuadar",11,0.32016
"Pearce",11,0.32016
"Chomplan",11,0.32016
"Chonacsa",11,0.32016
"drugall",11,0.32016
"Chonchobhair",11,0.32016
"dréachtfhoráil",11,0.32016
"Pennekamp",11,0.32016
"dtaiscidh",11,0.32016
"dtascfhórsaí",11,0.32016
"dteangan",11,0.32016
"dteicníochtaí",11,0.32016
"ubhlaí",11,0.32016
"dtuairisceán",11,0.32016
"Chonnlaoich",11,0.32016
"duaidh",11,0.32016
"Phait",11,0.32016
"duileargach",11,0.32016
"duit-se",11,0.32016
"Phiast",11,0.32016
"duánaí",11,0.32016
"dáibhíseach",11,0.32016
"Díorma",11,0.32016
"déachas",11,0.32016
"ghruag",11,0.32016
"déanaimís",11,0.32016
"déantúsáin",11,0.32016
"Phádruig",11,0.32016
"chiniciúlacht",11,0.32016
"Pick",11,0.32016
"díobh",11,0.32016
"díoghbháil",11,0.32016
"Piet",11,0.32016
"Pilip",11,0.32016
"díséad",11,0.32016
"chiseog",11,0.32016
"uinéirí",11,0.32016
"dón",11,0.32016
"Christoph",11,0.32016
"dúbhairt",11,0.32016
"Pizza",11,0.32016
"Flores",11,0.32016
"Chroimlinne",11,0.32016
"Flowering",11,0.32016
"Flub",11,0.32016
"eachraidh",11,0.32016
"Plucdearg",11,0.32016
"chiúini",11,0.32016
"unconscious",11,0.32016
"Pléimeannaigh",11,0.32016
"Doiligh",11,0.32016
"Poiséadón",11,0.32016
"eanglach",11,0.32016
"Pollock",11,0.32016
"eascateolaíoch",11,0.32016
"eascara",11,0.32016
"easnachaí",11,0.32016
"unitas",11,0.32016
"Fool",11,0.32016
"east",11,0.32016
"easraigh",11,0.32016
"Portia",11,0.32016
"editor",11,0.32016
"efforts",11,0.32016
"eilbhéiseach",11,0.32016
"eili",11,0.32016
"eiltreoig",11,0.32016
"eine",11,0.32016
"Preasoifig",11,0.32016
"Format",11,0.32016
"eiseamal",11,0.32016
"eisitheoir",11,0.32016
"Print",11,0.32016
"Foucault",11,0.32016
"Meet",11,0.32016
"Pritchard",11,0.32016
"emphasis",11,0.32016
"Properties",11,0.32016
"Prot",11,0.32016
"Bhéilinse",11,0.32016
"Francesca",11,0.32016
"Provence",11,0.32016
"choiche",11,0.32016
"Franck",11,0.32016
"Aru",11,0.32016
"faces",11,0.32016
"facilities",11,0.32016
"Chéad-",11,0.32016
"t-eorpach",11,0.32016
"fala",11,0.32016
"familiar",11,0.32016
"faobhraigh",11,0.32016
"faochóg",11,0.32016
"Chínn",11,0.32016
"faonoscailt",11,0.32016
"Píotsa",11,0.32016
"choinn-",11,0.32016
"Fringe",11,0.32016
"fault",11,0.32016
"feachd",11,0.32016
"feach",11,0.32016
"feadalaí",11,0.32016
"feaigeanna",11,0.32016
"Quick",11,0.32016
"Chóran",11,0.32016
"fearna",11,0.32016
"Allingham",11,0.32016
"belisa",11,0.32016
"Fuck",11,0.32016
"vióla",11,0.32016
"Raffaello",11,0.32016
"Ragged",11,0.32016
"Dúnaigh",11,0.32016
"Fungie",11,0.32016
"fheic-",11,0.32016
"Rameau",11,0.32016
"n-ursalach",11,0.32016
"Randstad",11,0.32016
"Randall",11,0.32016
"Fánai",11,0.32016
"fhian",11,0.32016
"Ranger",11,0.32016
"fhideog",11,0.32016
"fhionán",11,0.32016
"Ranníoc",11,0.32016
"Féadfair",11,0.32016
"Raonairí",11,0.32016
"Rap",11,0.32016
"Rashid",11,0.32016
"fhotha",11,0.32016
"Rathúin",11,0.32016
"fhreagar",11,0.32016
"n-éireannaigh",11,0.32016
"fhuaid",11,0.32016
"Féuch",11,0.32016
"Apolló",11,0.32016
"Áááá",11,0.32016
"Alma",11,0.32016
"chomhoibritheach",11,0.32016
"fhógráin",11,0.32016
"scloig",11,0.32016
"Rees",11,0.32016
"G-Com",11,0.32016
"fiarlíníocht",11,0.32016
"GI",11,0.32016
"fides",11,0.32016
"Rehab",11,0.32016
"Reidy",11,0.32016
"Reilg",11,0.32016
"figure-head",11,0.32016
"Reise",11,0.32016
"Related",11,0.32016
"Éibhir",11,0.32016
"filled",11,0.32016
"Asia",11,0.32016
"Remember",11,0.32016
"finger",11,0.32016
"finíní",11,0.32016
"fiodrince",11,0.32016
"fionaíl",11,0.32016
"fionlannach",11,0.32016
"Rerum",11,0.32016
"Biography",11,0.32016
"bfhear",11,0.32016
"fithisigh",11,0.32016
"Biongamaigh",11,0.32016
"scoltach",11,0.32016
"flas",11,0.32016
"Mendeleev",11,0.32016
"flustered",11,0.32016
"Gaelige",11,0.32016
"Clairvaux",11,0.32016
"foidhne",11,0.32016
"foirceadal",11,0.32016
"Claochló",11,0.32016
"folcaidh",11,0.32016
"Ísis",11,0.32016
"Roantree",11,0.32016
"Roar",11,0.32016
"Galataigh",11,0.32016
"Ógbhean",11,0.32016
"freangáin",11,0.32016
"frimhagadh",11,0.32016
"Cleaver",11,0.32016
"Gallia",11,0.32016
"Acquisition",11,0.32016
"Merican",11,0.32016
"Meredith",11,0.32016
"Clemenceau",11,0.32016
"fríom",11,0.32016
"Eabhraic",11,0.32016
"fuasaoid",11,0.32016
"fuid",11,0.32016
"Blackader",11,0.32016
"Rosses",11,0.32016
"fulang",11,0.32016
"Rouen",11,0.32016
"fágthaí",11,0.32016
"Rowel",11,0.32016
"fáigh",11,0.32016
"Royse",11,0.32016
"féacháilt",11,0.32016
"féana",11,0.32016
"féich",11,0.32016
"Ruiséalaigh",11,0.32016
"Acropolis",11,0.32016
"Rus",11,0.32016
"fíor-Ghaeltacht",11,0.32016
"fíre",11,0.32016
"Rynne",11,0.32016
"fóisc",11,0.32016
"g-cath",11,0.32016
"Cluainín",11,0.32016
"Gearastan",11,0.32016
"Blanco",11,0.32016
"gaelport",11,0.32016
"Cluskey",11,0.32016
"Róine",11,0.32016
"gaffer",11,0.32016
"Alphonse",11,0.32016
"Rómhánchaibh",11,0.32016
"galbhánach",11,0.32016
"Clárúcháin",11,0.32016
"scáin",11,0.32016
"Atheagrú",11,0.32016
"ST",11,0.32016
"SW",11,0.32016
"Metal",11,0.32016
"Meteor",11,0.32016
"gardnóir",11,0.32016
"Safe",11,0.32016
"gasracha",11,0.32016
"ndéiseach",11,0.32016
"Sahara",11,0.32016
"Cniogaide",11,0.32016
"gcaoláire",11,0.32016
"Salisbury",11,0.32016
"Gere",11,0.32016
"Salut",11,0.32016
"Ahá",11,0.32016
"gcirc",11,0.32016
"gcleitheamhnas",11,0.32016
"Getting",11,0.32016
"Samáraigh",11,0.32016
"Meánleibhéal",11,0.32016
"Sancti",11,0.32016
"gcom-",11,0.32016
"gcomhnaidhe",11,0.32016
"Ghaedhealg",11,0.32016
"gcomhra",11,0.32016
"gcona-mara",11,0.32016
"Cobhthaigh",11,0.32016
"Blink",11,0.32016
"gcorcha",11,0.32016
"gcornais",11,0.32016
"gcosamhlacht",11,0.32016
"Saracen",11,0.32016
"gcríochaibh",11,0.32016
"gcuasán",11,0.32016
"gcuirfi",11,0.32016
"gcultas",11,0.32016
"chuibhreannas",11,0.32016
"gcísanna",11,0.32016
"Savoy",11,0.32016
"gcúlghairdín",11,0.32016
"Says",11,0.32016
"gcúramóir",11,0.32016
"Scannail",11,0.32016
"Bloomsday",11,0.32016
"Coigchríche",11,0.32016
"Scene",11,0.32016
"Schulz",11,0.32016
"Atkins",11,0.32016
"Mhaidhceo",11,0.32016
"generous",11,0.32016
"seachtmhainí",11,0.32016
"ghaeilge",11,0.32016
"ghalra",11,0.32016
"ghaschealla",11,0.32016
"ghasán",11,0.32016
"ghearmáinise",11,0.32016
"Scóibí",11,0.32016
"ghiodán",11,0.32016
"ghlagaire",11,0.32016
"Seafood",11,0.32016
"Sealtainn",11,0.32016
"ghormaigh",11,0.32016
"ghruaibhín",11,0.32016
"Searbháin",11,0.32016
"ghruaimhín",11,0.32016
"ghrupaí",11,0.32016
"ghufa",11,0.32016
"ghuil",11,0.32016
"Liber",11,0.32016
"bhfeidhil",11,0.32016
"gháirleoig",11,0.32016
"Security",11,0.32016
"gimbutas",11,0.32016
"seanIsibéal",11,0.32016
"Gift",11,0.32016
"Self",11,0.32016
"Semperit",11,0.32016
"girlfriend",11,0.32016
"glacadoir",11,0.32016
"Colgain",11,0.32016
"Sergei",11,0.32016
"Sesame",11,0.32016
"cháipéisíocht",11,0.32016
"glinneáil",11,0.32016
"gliomadóireacht",11,0.32016
"neoiliteach",11,0.32016
"Collachair",11,0.32016
"bhfiodh",11,0.32016
"Ginley",11,0.32016
"Seá",11,0.32016
"glórthaí",11,0.32016
"Attracta",11,0.32016
"Shacsan",11,0.32016
"gníomh-",11,0.32016
"gníomhachtaí",11,0.32016
"Shambhala",11,0.32016
"goal",11,0.32016
"god",11,0.32016
"Shaping",11,0.32016
"goltraí",11,0.32016
"grabhróg",11,0.32016
"grafóg",11,0.32016
"graiféad",11,0.32016
"Shearnóbail",11,0.32016
"grass",11,0.32016
"Glaofad",11,0.32016
"aaa",11,0.32016
"chóilíneachais",11,0.32016
"Shinto",11,0.32016
"Glenavy",11,0.32016
"Shira",11,0.32016
"gréasaíocht",11,0.32016
"gréigeach",11,0.32016
"Comaraigh",11,0.32016
"grósaeireacht",11,0.32016
"grúm",11,0.32016
"guagán",11,0.32016
"Shropshire",11,0.32016
"gualcheantar",11,0.32016
"Sháirséal",11,0.32016
"Shéadna",11,0.32016
"gut",11,0.32016
"Gnoithe",11,0.32016
"Shósialaigh",11,0.32016
"gáiridhe",11,0.32016
"seated",11,0.32016
"Goat",11,0.32016
"Goblin",11,0.32016
"Siemens",11,0.32016
"géibheannach",11,0.32016
"Goddess",11,0.32016
"Sigurd",11,0.32016
